2000 United States presidential election
2004 United States presidential election
2008 United States presidential election
2008 Wisconsin Democratic presidential primary
2012 United States presidential election
2016 United States presidential election
Barack Obama
By-election
Democratic Party (United States)
Doi (identifier)
Donald Trump
Elections in Alabama
Elections in Alaska
Elections in American Samoa
Elections in Arizona
Elections in Arkansas
Elections in California
Elections in Colorado
Elections in Connecticut
Elections in Delaware
Elections in Florida
Elections in Georgia (U.S. state)
Elections in Guam
Elections in Hawaii
Elections in Idaho
Elections in Illinois
Elections in Indiana
Elections in Iowa
Elections in Kansas
Elections in Kentucky
Elections in Louisiana
Elections in Maine
Elections in Maryland
Elections in Michigan
Elections in Minnesota
Elections in Mississippi
Elections in Missouri
Elections in Montana
Elections in Nebraska
Elections in Nevada
