Accessory fruit
Acronychia acidula
Acronychia oblongifolia
Acrotriche depressa
Actinidia arguta
Actinidia chinensis
Actinidia deliciosa
Adansonia digitata
Adansonia gregorii
Adansonia rubrostipa
Adventist Health Studies
Aegle marmelos
Aglaia teysmanniana
Akebia quinata
Alan Desmond
Alfredo Bowman
Alibertia edulis
Alibertia patinoi
Amelanchier alnifolia
Amelanchier arborea
Amelanchier asiatica
Amelanchier bartramiana
Amelanchier canadensis
Amelanchier humilis
Amelanchier interior
Amelanchier intermedia
Amelanchier laevis
Amelanchier lamarckii
Amelanchier nantucketensis
Amelanchier obovalis
Amelanchier ovalis
Amelanchier pallida
Amelanchier sanguinea
Amelanchier sinica
Amelanchier spicata
Amelanchier utahensis
Anacardium occidentale
Ananas comosus
Ananas macrodontes
Anisocapparis speciosa
Annona aurantiaca
Annona cacans
Annona cherimola
Annona conica
Annona coriacea
Annona cornifolia
Annona crassiflora
Annona diversifolia
Annona glabra
Annona hypoglauca
Annona jahnii
Annona longiflora
Annona montana
Annona muricata
Annona nitida
Annona nutans
Annona paludosa
Annona purpurea
Annona reticulata
Annona salzmannii
Annona scleroderma
Annona senegalensis
Annona sericea
Annona squamosa
Annona stenophylla
Antidesma bunius
Arbutus unedo
Archirhodomyrtus beckleri
Arctostaphylos uva-ursi
Ardisia elliptica
Arenga pinnata
Aristotelia chilensis
Arnold Schwarzenegger
Aronia melanocarpa
Artocarpus altilis
Artocarpus anisophyllus
Artocarpus blancoi
Artocarpus camansi
Artocarpus chama
Artocarpus elasticus
Artocarpus gomezianus
Artocarpus heterophyllus
Artocarpus hirsutus
Artocarpus hypargyreus
Artocarpus integer
Artocarpus lacucha
Artocarpus lanceifolius
Artocarpus mariannensis
Artocarpus odoratissimus
Artocarpus parvus
Artocarpus rigidus
Artocarpus scortechinii
Artocarpus sericicarpus
Artocarpus tamaran
Artocarpus teysmannii
Asimina triloba
Atemoya
Austromyrtus dulcis
Averrhoa bilimbi
Averrhoa carambola
Azadirachta indica
Baccaurea polyneura
Baccaurea racemosa
Baccaurea ramiflora
Bailan melon
Banana
Banana melon
Bean
Bemange
Berberis darwinii
Berberis vulgaris
Billardiera cymosa
Billardiera longiflora
Billardiera scandens
Binomial nomenclature
Blighia sapida
Blood lime
Blood orange
Boquila trifoliolata
Borassus flabellifer
Bouea macrophylla
Boysenberry
Brazil nut
Brenda Davis
Brendan Brazier
Bronze loquat
Buchanania arborescens
Buchanania obovata
Bunchosia argentea
Bunchosia glandulifera
Butia archeri
Butia arenicola
Butia campicola
Butia capitata
Butia catarinensis
Butia eriospatha
Butia lallemantii
Butia matogrossensis
Butia odorata
Butia paraguayensis
Butia pubispatha
