1997 NFL season
1999 NFL season
2000 Pro Bowl
2001 NFL season
2002 NFL season
2005 NFL season
2006 All-Pro Team
2006 Indianapolis Colts season
2006 NFL season
2006–07 NFL playoffs
2007 Indianapolis Colts season
2007 NFL season
2007 Pro Bowl
2008 Indianapolis Colts season
2008 NFL season
Adam Vinatieri
Andre Johnson
Andrew Luck
Anquan Boldin
Anthony Muñoz
Antonio Brown
Arizona Cardinals
Atlanta Falcons
Barry Sanders
Bobby Layne
Booger McFarland
Chad Johnson
Chicago Bears
Cincinnati Bengals
College football
Dallas Clark
Dan Dierdorf
Dan Fouts
David Akers
DeAndre Hopkins
Detroit Lions
Doak Walker
Dominic Rhodes
Donovan McNabb
Doug Baldwin
Dutch Clark
ESPN The Magazine
Eddie Kennison
Emmitt Smith
Frank Gore
Indianapolis Colts
Jacksonville Jaguars
James Lofton
Jerry Jones
Joe Schmidt (American football)
Joe Thomas (offensive tackle)
Joseph Addai
Ken Riley
